Year,County Name,Population
2003,Queens,79282
2003,Queens,134666
2003,Queens,31375
2003,Queens,33518
2003,Queens,29307
2003,Queens,40466
2003,Queens,128251
2003,Queens,29199
2003,Queens,33549
2004,Erie,936318
2003,Queens,26687
2003,Queens,38816
2003,Queens,147439
2003,Queens,33336
2003,Queens,31976
2003,Queens,31999
2003,Queens,50128
2003,Queens,75698
2003,Queens,17017
2003,Queens,15207
2003,Queens,16176
2003,Queens,27298
2003,Queens,71741
2003,Queens,16319
2003,Queens,16769
2003,Queens,15823
2003,Queens,22830
2003,Queens,358438
2003,Queens,97791
2003,Queens,60867
2003,Queens,87478
2003,Queens,112302
2003,Queens,179808
2003,Queens,49972
2003,Queens,27248
2003,Queens,42770
2003,Queens,59818
2003,Queens,178630
2003,Queens,47819
2003,Queens,33619
2003,Queens,44708
2003,Queens,52484
2003,Queens,366848
2003,Queens,100502
2003,Queens,73119
2003,Queens,91257
2003,Queens,101970
2003,Queens,183622
2003,Queens,52905
2003,Queens,32280
2003,Queens,46716
2003,Queens,51721
2003,Queens,183226
2003,Queens,47597
2003,Queens,40839
2003,Queens,44541
2003,Queens,50249
2003,Queens,306996
2003,Queens,102072
2003,Queens,61116
2003,Queens,74590
2003,Queens,69218
2003,Queens,147576
2003,Queens,50392
2003,Queens,26761
2003,Queens,37898
2003,Queens,32525
2003,Queens,159420
2003,Queens,51680
2003,Queens,34355
2003,Queens,36692
2003,Queens,36693
2003,Queens,215127
2003,Queens,86024
2003,Queens,44635
2003,Queens,41511
2003,Queens,42957
2003,Queens,97554
2003,Queens,40181
2003,Queens,18157
2003,Queens,20184
2003,Queens,19032
2003,Queens,117573
2003,Queens,45843
2003,Queens,26478
2003,Queens,21327
2003,Queens,23925
2003,Queens,145250
2003,Queens,71284
2003,Queens,27287
2003,Queens,23350
2003,Queens,23329
2003,Queens,61805
2003,Queens,30762
2003,Queens,10528
2003,Queens,10982
2003,Queens,9533
2003,Queens,83445
2003,Queens,40522
2003,Queens,16759
2003,Queens,12368
2003,Queens,13796
2003,Queens,102512
2003,Queens,64984
2003,Queens,16308
2003,Queens,10576
2003,Queens,10644
2003,Queens,38672
2003,Queens,24957
2003,Queens,5542
2003,Queens,4551
2003,Queens,3622
2003,Queens,63840
2003,Queens,40027
2003,Queens,10766
2003,Queens,6025
2003,Queens,7022
2003,Queens,40955
2003,Queens,29348
2003,Queens,5270
2003,Queens,2922
2003,Queens,3415
2003,Queens,12536
2003,Queens,9025
2003,Queens,1416
2003,Queens,1154
2003,Queens,941
2003,Queens,28419
2003,Queens,20323
2003,Queens,3854
2003,Queens,1768
2003,Queens,2474
2003,Richmond,459737
2003,Richmond,315796
2003,Richmond,45572
2003,Richmond,32567
2003,Richmond,65802
2003,Richmond,222896
2003,Richmond,152800
2003,Richmond,21039
2003,Richmond,16163
2003,Richmond,32894
2004,Wayne,561
2003,Richmond,236841
2003,Richmond,162996
2003,Richmond,24533
2003,Richmond,16404
2003,Richmond,32908
2003,Richmond,5466
2003,Richmond,3240
2003,Richmond,758
2003,Richmond,376
2003,Richmond,1092
2003,Richmond,2766
2003,Richmond,1637
2003,Richmond,340
2003,Richmond,198
2003,Richmond,591
2003,Richmond,2700
2003,Richmond,1603
2003,Richmond,418
2003,Richmond,178
2003,Richmond,501
2003,Richmond,53070
2003,Richmond,31862
2003,Richmond,7186
2003,Richmond,3450
2003,Richmond,10572
2003,Richmond,27135
2003,Richmond,16434
2003,Richmond,3595
2003,Richmond,1741
2003,Richmond,5365
2003,Richmond,25935
2003,Richmond,15428
2003,Richmond,3591
2003,Richmond,1709
2003,Richmond,5207
2003,Richmond,62579
2003,Richmond,38307
2003,Richmond,8602
2003,Richmond,4254
2003,Richmond,11416
2003,Richmond,32171
2003,Richmond,19791
2003,Richmond,4354
2003,Richmond,2216
2003,Richmond,5810
2003,Richmond,30408
2003,Richmond,18516
2003,Richmond,4248
2003,Richmond,2038
2003,Richmond,5606
2003,Richmond,30884
2003,Richmond,19023
2003,Richmond,3556
2003,Richmond,2337
2003,Richmond,5968
2003,Richmond,15631
2003,Richmond,9463
2003,Richmond,1706
2003,Richmond,1201
2003,Richmond,3261
2003,Richmond,15253
2003,Richmond,9560
2003,Richmond,1850
2003,Richmond,1136
2003,Richmond,2707
2003,Richmond,64194
2003,Richmond,40320
2003,Richmond,6407
2003,Richmond,5456
2003,Richmond,12011
2003,Richmond,31904
2003,Richmond,20052
