Montgomery,2014,61,23,78,123
Nassau,2014,742,285,2112,2081
New York,2014,4360,121,13772,1997
Niagara,2014,205,101,346,583
Oneida,2014,209,76,408,597
Onondaga,2014,531,128,998,1088
Ontario,2014,59,84,96,364
Orange,2014,531,212,1275,1211
Orleans,2014,64,17,25,81
Oswego,2014,121,61,182,371
Otsego,2014,79,34,85,224
Putnam,2014,86,47,177,346
Queens,2014,2188,330,8238,2548
Rensselaer,2014,138,73,260,427
Richmond,2014,771,56,2430,522
Rockland,2014,192,87,434,612
Saratoga,2014,151,119,322,757
Schenectady,2014,281,45,206,229
Schoharie,2014,14,10,42,72
Schuyler,2014,9,14,12,54
Seneca,2014,43,31,47,136
Steuben,2014,73,66,148,288
St. Lawrence,2014,99,56,164,335
Suffolk,2014,754,510,4418,3093
Sullivan,2014,81,41,311,269
Tioga,2014,41,23,62,116
Tompkins,2014,45,44,75,313
Ulster,2014,338,131,547,737
Unknown-NonNYS,2014,15,0,4,4
Warren,2014,92,46,100,268
Washington,2014,55,25,96,188
Wayne,2014,33,69,67,281
Westchester,2014,1103,251,2077,1675
Wyoming,2014,32,28,46,128
Yates,2014,11,17,21,88
Albany,2013,516,137,1222,909
Allegany,2013,41,24,59,144
Bronx,2013,5820,155,14644,1388
Broome,2013,188,96,508,473
Cattaraugus,2013,83,55,129,259
Cayuga,2013,106,32,102,171
Chautauqua,2013,175,86,220,542
Chemung,2013,109,66,214,349
Chenango,2013,31,34,87,141
Clinton,2013,158,44,131,314
Columbia,2013,64,34,168,183
Cortland,2013,68,28,72,249
Delaware,2013,63,27,77,150
Dutchess,2013,193,155,469,915
Erie,2013,1047,446,3885,2386
Essex,2013,28,24,39,129
Franklin,2013,75,40,41,206
Fulton,2013,46,36,53,187
Genesee,2013,27,60,74,206
Greene,2013,83,56,109,221
Hamilton,2013,0,1,5,23
Herkimer,2013,25,50,43,216
Jefferson,2013,144,52,93,418
Kings,2013,4865,256,16263,2213
Lewis,2013,17,11,25,57
Livingston,2013,57,55,122,203
Madison,2013,25,37,52,187
Monroe,2013,576,414,1102,1947
Montgomery,2013,105,27,65,160
Nassau,2013,783,266,2229,1907
New York,2013,5105,115,14151,2163
Niagara,2013,265,112,376,637
Oneida,2013,199,77,402,614
Onondaga,2013,614,166,939,1270
Ontario,2013,86,106,101,384
Orange,2013,465,192,1193,1035
Orleans,2013,41,27,41,128
Oswego,2013,144,57,171,346
Otsego,2013,72,36,70,218
Putnam,2013,103,53,198,429
Queens,2013,2584,340,8299,2624
Rensselaer,2013,158,67,221,398
Richmond,2013,753,54,2224,571
Rockland,2013,220,89,330,606
Saratoga,2013,145,127,280,757
Schenectady,2013,226,44,190,305
Schoharie,2013,21,18,74,134
Schuyler,2013,16,18,7,70
Seneca,2013,54,27,30,133
Steuben,2013,141,63,112,313
St. Lawrence,2013,118,54,113,319
Suffolk,2013,711,541,4233,3561
Sullivan,2013,85,46,254,228
Tioga,2013,26,28,57,114
Tompkins,2013,32,42,76,260
Ulster,2013,271,133,458,787
Unknown-NonNYS,2013,12,1,2,4
Warren,2013,62,55,134,278
Washington,2013,47,21,83,181
Wayne,2013,31,72,69,244
Westchester,2013,1241,230,2787,1663
Wyoming,2013,41,38,62,132
Yates,2013,13,15,22,71
Albany,2012,513,157,1001,928
Allegany,2012,78,31,49,200
Bronx,2012,6416,86,18149,1041
Broome,2012,195,104,375,464
Cattaraugus,2012,64,67,59,277
Cayuga,2012,88,31,91,170
Chautauqua,2012,180,101,193,556
Chemung,2012,84,73,184,347
Chenango,2012,20,27,85,151
Clinton,2012,143,65,121,348
Columbia,2012,33,42,115,172
Cortland,2012,39,28,49,248
Delaware,2012,48,38,61,185
Dutchess,2012,217,151,489,979
Erie,2012,1151,506,3519,2359
Essex,2012,21,20,27,108
Franklin,2012,87,34,48,237
Fulton,2012,24,51,39,202
Genesee,2012,29,52,80,200
Greene,2012,64,50,137,238
Hamilton,2012,3,9,3,28
Herkimer,2012,25,42,66,217
Jefferson,2012,103,70,96,475
Kings,2012,5079,172,20918,1855
Lewis,2012,7,15,10,78
Livingston,2012,31,69,86,200
Madison,2012,33,38,86,224
Monroe,2012,577,425,1242,2019
Montgomery,2012,67,40,65,143
Nassau,2012,854,271,2010,2094
New York,2012,4783,111,16279,1853
Niagara,2012,186,125,348,666
Oneida,2012,238,104,620,629
Onondaga,2012,596,229,991,1403
Ontario,2012,64,72,67,335
Orange,2012,380,161,988,1015
Orleans,2012,51,30,25,128
Oswego,2012,99,48,168,348
Otsego,2012,81,40,98,281
Putnam,2012,109,56,246,397
Queens,2012,2297,245,8590,2480
Rensselaer,2012,179,91,218,463
Richmond,2012,647,25,2466,451
Rockland,2012,199,116,266,601
Saratoga,2012,123,107,244,720
Schenectady,2012,154,58,173,293
Schoharie,2012,19,15,40,112
Schuyler,2012,7,12,11,81
Seneca,2012,35,30,41,133
Steuben,2012,102,71,76,270
St. Lawrence,2012,114,59,114,416
Suffolk,2012,714,613,5080,3912
Sullivan,2012,76,66,323,258
Tioga,2012,21,30,49,97
Tompkins,2012,25,49,84,375
Ulster,2012,284,128,494,771
Unknown-NonNYS,2012,17,0,1,4
Warren,2012,82,69,89,338
Washington,2012,47,33,52,217
Wayne,2012,58,62,65,196
Westchester,2012,1265,233,2536,1717
Wyoming,2012,48,40,39,147
Yates,2012,13,20,11,92
Albany,2011,451,152,804,997
Allegany,2011,53,32,33,180
Bronx,2011,6914,74,21262,1023
Broome,2011,185,100,351,508
Cattaraugus,2011,87,94,62,349
Cayuga,2011,72,31,61,184
Chautauqua,2011,127,106,173,596
Chemung,2011,61,71,129,310
Chenango,2011,22,35,60,175
Clinton,2011,75,63,114,382
Columbia,2011,50,59,100,228
Cortland,2011,47,42,66,272
Delaware,2011,28,26,63,174
Dutchess,2011,198,180,462,1073
Erie,2011,1277,520,3198,2471
Essex,2011,40,25,34,152
Franklin,2011,67,38,61,233
Fulton,2011,29,50,55,179
Genesee,2011,60,55,80,262
Greene,2011,52,52,109,351
Hamilton,2011,2,5,4,32
Herkimer,2011,30,43,65,235
Jefferson,2011,113,55,91,539
Kings,2011,5733,143,25923,1592
Lewis,2011,10,18,11,68
Livingston,2011,26,57,60,244
Madison,2011,33,19,61,237
Monroe,2011,665,476,1041,2348
Montgomery,2011,74,51,79,199
Nassau,2011,696,306,1494,2158
New York,2011,4903,94,17869,1704
Niagara,2011,219,120,388,705
Oneida,2011,238,59,421,705
Onondaga,2011,472,218,883,1434
Ontario,2011,66,86,73,285
Orange,2011,354,200,919,1105
Orleans,2011,45,22,39,106
Oswego,2011,93,91,180,469
Otsego,2011,75,44,90,287
Putnam,2011,97,43,186,449
Queens,2011,2342,218,10376,2471
Rensselaer,2011,164,78,211,425
Richmond,2011,762,20,3021,496
Rockland,2011,270,111,245,621
Saratoga,2011,97,109,189,592
Schenectady,2011,152,71,168,438
Schoharie,2011,18,17,35,131
Schuyler,2011,28,18,12,70
Seneca,2011,26,28,34,108
Steuben,2011,76,91,69,309
St. Lawrence,2011,145,71,133,420
Suffolk,2011,908,602,4489,3885
Sullivan,2011,95,67,297,335
Tioga,2011,24,39,50,130
Tompkins,2011,30,46,82,255
Ulster,2011,151,155,421,961
Unknown-NonNYS,2011,16,1,3,6
Warren,2011,69,50,127,296
Washington,2011,31,43,52,211
Wayne,2011,48,93,94,269
Westchester,2011,1205,278,2267,1686
Wyoming,2011,34,32,39,127
Yates,2011,26,17,12,74
Albany,2010,491,176,766,1145
Allegany,2010,49,44,46,226
Bronx,2010,7411,73,22330,1215
Broome,2010,217,131,320,582
Cattaraugus,2010,43,84,58,305
Cayuga,2010,77,37,79,194
Chautauqua,2010,165,104,175,622
Chemung,2010,83,87,110,329
Chenango,2010,25,34,50,182
Clinton,2010,114,63,84,364
Columbia,2010,27,63,103,341
Cortland,2010,31,39,49,222
Delaware,2010,23,36,52,182
Dutchess,2010,193,243,412,1255
Erie,2010,1382,575,3342,2496
Essex,2010,35,26,34,204
Franklin,2010,75,42,48,219
Fulton,2010,42,44,31,219
Genesee,2010,33,56,79,307
Greene,2010,55,67,95,370
Hamilton,2010,3,4,7,36
Herkimer,2010,25,45,46,268
Jefferson,2010,106,95,109,523
Kings,2010,5766,159,25830,1917
Lewis,2010,12,14,6,106
Livingston,2010,44,64,88,246
Madison,2010,20,42,67,278
Monroe,2010,749,448,1091,2181
Montgomery,2010,49,45,40,208
Nassau,2010,960,325,1590,2621
New York,2010,5570,137,16939,2011
Niagara,2010,206,166,448,833
Oneida,2010,214,64,433,787
Onondaga,2010,486,228,863,1419
Ontario,2010,106,71,102,369
Orange,2010,423,261,1116,1348
Orleans,2010,77,40,35,150
Oswego,2010,48,90,94,464
Otsego,2010,73,67,84,355
Putnam,2010,90,56,181,441
Queens,2010,2456,242,10260,2657
Rensselaer,2010,150,101,169,564
Richmond,2010,865,14,2731,405
Rockland,2010,258,128,268,810
Saratoga,2010,111,148,233,730
Schenectady,2010,199,80,169,360
Schoharie,2010,23,24,46,162
Schuyler,2010,10,17,10,67
Seneca,2010,14,31,28,105
Steuben,2010,62,78,91,303
St. Lawrence,2010,107,74,88,406
Suffolk,2010,890,580,4151,3442
Sullivan,2010,64,88,236,427
Tioga,2010,26,26,46,158
Tompkins,2010,25,47,64,285
Ulster,2010,181,164,421,1140
Unknown-NonNYS,2010,15,1,3,8
Warren,2010,60,75,116,354
Washington,2010,49,38,48,229
Wayne,2010,53,82,85,269
Westchester,2010,1162,294,2039,2018
Wyoming,2010,57,40,33,136
Yates,2010,8,18,13,72
Albany,2009,547,156,864,1272
Allegany,2009,48,55,24,229
Bronx,2009,8719,104,22963,1275
Broome,2009,216,135,312,607
Cattaraugus,2009,69,82,72,357
Cayuga,2009,78,25,53,191
Chautauqua,2009,167,130,145,684
Chemung,2009,79,82,107,407
